" and "," y "
"Mb","Mb"
"md5sum","md5sum"
"Media (.avi, .flv, .swf)","Medio (.avi, .flv, .swf)"
"MINOR","MENOR"
"minor","menor"
"Incoming Message","Mensaje entrante"
"Messages Inbox","Mensajes Recibidos"
"Merge Now","Merge Now"
"Month","Mes"
"Prev. month (hold for menu)","Mes ant. (mantenga para ver menú)"
"Next month (hold for menu)","Mes siguiente (mantenga para ver menú)"
"My Account","Mi cuenta"
"MS Excel XML","Microsoft Excel XML"
"Thumbnail","Miniatura"
"Product Thumbnail Itself","Miniatura del producto"
"Edit","Modificar"
"Edit Poll","Modificar encuesta"
"Edit Tag","Modificar etiqueta"
"Toggle Editor","Modificar Interruptor"
"Edit Template","Modificar plantilla"
"Edit Email Template","Modificar plantilla de Email"
"Edit System Template","Modificar Plantilla del sistema"
"Edit Role","Modificar Rol"
"Edit Website","Modificar Sitio Web"
"Edit Urlrewrite","Modificar Urlrewrite"
"Edit User","Modificar usuario"
"Edit User '%s'","Modificar Usuario '%s'"
"Edit Store View","Modificar Vista de Tienda"
"Passive mode","Modo pasivo"
"Module version conflict!","Module version conflict!"
"Display %s first","Mostrar %s primero"
"Display default currency","Mostrar la divisa predeterminada"
"Show by","Mostrar por"
"Show Report for","Mostrar reporte por"
"Show reviews","Mostrar reseñas"
"Samples","Muestras"
"N/A","N/A"
"Browse Available Extensions","Navegar por las extensiones disponibles"
"Browse Available Remote Extensions","Navegar por las extensiones remotas disponibles"
"Issue Number","Número de publicación"
"Number of records:","Número de registros:"
"Credit Card Number","Número de Tarjeta de Crédito"
"Credit Card Number: xxxx-%s","Número de Tarjeta de Crédito: xxxx-%s"
"Number of Uses","Número de usos"
"Card Verification Number","Número de verificación de tarjeta"
"Total %d records found","Número total %d de registros encontrados"
"Tracking number %s for %s assigned","Números %s de seguimiento %s asignado"
"Number of Orders","Números de pedidos"
"Number of Use","Números de uso"
"You need specify carrier.","Necesita especificar la mensajeria."
"You need to specify order items","Necesita especificar los artículos del pedido"
"None","Ninguno"
"Level","nivel"
"No","No"
"No (price without tax)","No (precio sin impuestos)"
"Unable to save Cron expression","No es posible guardar la expresión Cron"
"Unable to find a poll to delete","No fue posible encontrar una encuesta para eliminar"
"Unable to find a tag to delete","No fue posible encontrar una etiqueta para eliminar"
"No search modules registered","No hay módulos de Búsqueda  registrados"
"No search keywords.","No hay palabras de Búsqueda ."
"No profile loaded...","No hay perfil cargado..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","No pueden incluir opciones personalizadas en paquetes con precios dinámicos. Las opciones no se guardarán."
"No Data Found","No se encontraron datos"
"No Extensions Found","No se encontraron extensiones"
"No Templates Found","No se encontraron plantillas"
"No records found for this period.","No se encontraron registros para este periodo."
"No records found.","No se encontraron registros."
"Order confirmation email not sent","No se envío el correo de la confirmación del pedido"
"Can't delete design change","No se pudo eliminar el cambio de diseño"
"Can not add new comment.","No se puede añadir comentarios nuevos."
"Can not add tracking number.","No se puede añadir número de guía."
"Can not update item qty","No se puede actualizar la cant. del artículo"
"Can not save credit memo","No se puede cargar el memorándum de crédito"
"Can not load track with retrieving identifier.","No se puede cargar el rastreo con el identificador de recuperación."
"Can not save shipment.","No se puede el envío."
"Can not delete tracking number.","No se puede eliminar número de guía."
"Can't find email address.","No se puede encontrar la Dirección de Email."
"Can not send shipment information.","No se puede enviar el paquete."
"Can not save invoice","No se puede guardar la factura"
"Can not do shipment for order.","No se puede hacer envíos para el pedido."
"Can not do invoice for order","No se puede hacer factura para el pedido"
"Can not initialize shipment for adding tracking number.","No se puede inicializar el envío para el número de guía añadido."
"Can not initialize shipment for delete tracking number.","No se puede inicializar el envío para el número de guía."
"Can not retrieve tracking number detail.","No se puede recuperar los detalles del número de guía."
"Can not do credit memo for order","No se puede tener memos de crédito para el pedido"
"SKU","No. Ref. (SKU)"
"SKU:","No. Ref. (SKU):"
"Name","Nombre"
"Archive file name:","Nombre de archivo:"
"Extension Name","Nombre de la extensión"
"Spreadsheet Name:","Nombre de la hoja de cálculo:"
"Template Name","nombre de la plantilla"
"Invalid Username or Password.","Nombre de usuario o contraseña inválido."
"User Name:","Nombre de usuario:"
"Package File Name","Nombre del archivo del paquete"
"File name:","Nombre del archivo:"
"Customer Name","Nombre del cliente"
"Attribute Set Name:","Nombre del conjunto de Atributos:"
"Profile Name","Nombre del perfil"
"Role Name","Nombre del Rol"
"User Name","Nombre del usuario"
"User name","Nombre del usuario"
"Name on Card","Nombre en la tarjeta"
"Name on the Card: %s","Nombre en la tarjeta: %s"
"Name:","Nombre:"
"Original Magento attribute names in first row:","Nombres de atributos originales de Magento en la primera columna:"
"Note:","Nota:"
"Notes","Notas"
"Notes:","Notas:"
"Instant Payment Notification (IPN)","Notificación de pago instantáneo (IPN)"
"Get help for this page","Obtén ayuda para esta página"
"Get Image Base64","Obtén imagen Base64"
"Optional","Opcional"
"Options","Opciones"
"or","or"
"Shipping origin","Origen del envío"
"Country","País"
"Country:","País:"
"Default display currency ""%s"" is not available in allowed currencies","Pantalla de Divisa preestablecida ""%s"" no está disponible para las divisas permitidas"
"Package","Paquete"
"Bundle Items","Paquete de artículos"
"Packages","Paquetes"
"For latest version visit: %s","Para la versión más actualizada visite: %s"
"Help Us Keep Magento Healthy - Report All Bugs","Participa en el fortalecimiento de Magento - Reporte todas las fallas"
"Page","Página"
"Previous page","Página previa"
"Order #%s","Pedido #%s"
"Order #%s (%s)","Pedido #%s (%s)"
"Orders","Pedidos"
"Average Orders","Pedidos promedio"
"Recent Orders","Pedidos Recientes"
"New Profile","Perfil Nuevo"
"Profiles","Perfiles"
"Advanced Profiles","Perfiles avanzados"
"Profile Wizard","Perfiles Wizard"
"Period","Periodo"
"Permanent (301)","Permanente (301)"
"Permissions","Permisos"
"Custom","Personalizar"
"Template","Plantilla"
"New Email Template","Plantilla de Email Nueva"
"New Template","Plantilla Nueva"
"New System Template","Plantilla Nueva de sistema"
"Default Template from Locale","Plantilla predeterminadas desde local"
"Please, select a store view","Please, select a store view"
"Per Item","Por Artículos"
"For category","Por categoría"
"Please make sure your passwords match.","Por favor asegúrese que las contraseñas coincidan."
"Please fill in 'email' field.","Por favor complete el campo 'Email'."
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor confirme el cambio de sitio. Todos los datos que no han sido guardados serán perdidos."
"Please specify at least start or end date.","Por favor especifique por lo menos una fecha de inicio o final."
"Please wait, loading...","Por favor espere, cargando..."
"Please wait...","Por favor espere..."
"Please make sure that your changes were saved before running the profile.","Por favor esté seguro de que todos los cambios fueron guardados antes de correr el perfil."
"Please make sure that all global admin search modules are installed and activated.","Por favor este seguro que todos los módulos globales de Búsqueda  están instalados y activados."
"Please enter a valid $ amount. For example $100.00.","Por favor ingrese  una cantidad $ válida. Por ejemplo $100.00."
"Please enter 6 or more characters.","Por favor ingrese 6 o más caracteres."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor ingrese un código postal válido. Por ejemplo 90602 o 90602-1234."
"Please enter a valid zip code.","Por favor ingrese un codigo postal válido."
"Please enter a valid social security number. For example 123-45-6789.","Por favor ingrese un número de seguridad sociual válido, por ejemplo 123456789."
"Please enter a number greater than 0 in this field.","Por favor ingrese un Número mayor a 0 en este campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor ingrese un número telefónico válido, por ejemplo  (123) 456-7890 or 123-456-7890."
"Please enter a valid credit card number.","Por favor ingrese un número válido de tarjeta de credito."
"Please enter a valid number in this field.","Por favor ingrese un Número válido en este campo."
"Please enter a valid value, ex: 10,20,30","Por favor ingrese un valor válido, ex: 10,20,30"
"Please enter valid password.","Por favor ingrese una contraseña válida."
"Please enter a valid date.","Por favor ingrese una fecha válida."
"Please enter a valid URL. http:// is required","Por favor ingrese una URL válida. http:// es requerido"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor ingrese una URL válida. Por ejemplo http://www.example.com"
"Please enter a valid value from list","Por favor ingrese una valor valido de la lista"
"Please select State/Province.","Por favor seleccione el estado/provincia."
"Please select customer(s)","Por favor seleccione el o los clientes"
"Please select tag(s)","Por favor seleccione etiqueta(s)"
"Please select catalog searches","Por favor seleccione las búsquedas de catálogo"
"Please select review(s)","Por favor seleccione reseña(s)"
"Please select a custmer","Por favor seleccione un cliente"
"Please select one of the above options.","Por favor seleccione una de las opciones de arriba."
"Please select one of the options.","Por favor seleccione una de las opciones."
"Please select an option.","Por favor seleccione una opción."
"Please select a store","Por favor seleccione una tienda"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor use  en este campo sólo letras (a-z) o Números (0-9) o espacios o # solamente."
"Please use in this field only ""a-z,0-9,_"".","Por favor use en este campo ""a-z,0-9,_""."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor use este formato de fecha: dd/mm/aaaa. Por ejemplo  17/03/2006 para el 17 de marzo del, 2006."
"Please use letters only (a-z) in this field.","Por favor use letras solamente (a-z) en este campo."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Por favor use Números solamente en este campo. Por favor no use espacios u otros caracteres como puntos o comas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor use sólo letras (a-z) o Números (0-9) sólo en este campo. No se permiten espacios u otros caracteres."
"Please enter a valid email address. For example johndoe@domain.com.","por favor, ingrese una Dirección de Email válido. Por ejemplo johndoe@domain.com."
"Please, add a few answers to this poll first","Por favor, primero agregue unas cuantas respuestas a la encuesta"
"Please, select visible in stores to this poll first","Por favor, primero seleccione visible en las tiendas para esta encuesta"
"per page","por página"
"Per Order","Por pedido"
"For product","Por producto"
"Percent","Porcentaje"
"Position of Watermark for %s","Posición de la marca de agua para %s"
"Price","Precio"
"Shipping Price","Precio del envío"
"Final Price","Precio Final"
"Price:","Precio:"
"Preparing to change $pkg, please wait...","Preparando para cambiar $pkg, por favor espere..."
"Email Preview","Previsualización de Email"
"Preview","Previsualizar"
"Preview Template","Previsualizar plantilla"
"Firstname","Primer nombre"
"First Name","Primer nombre"
"First Name:","Primer nombre:"
"Processed <strong>%s%% %s/%d</strong> items","Processed <strong>%s%% %s/%d</strong> items"
"Product","Producto"
"Product:","Producto:"
"Products","Productos"
"Available Products","Productos Disponibles"
"Most Viewed Products","Productos más vistos"
"Promo","Promoción"
"Promotions","Promociones"
"Track order","Rastrear el pedido"
"Track this shipment","Ratrear este envío"
"Rebuild Flat Catalog Category","Rebuild Flat Catalog Category"
"Rebuild Flat Catalog Product","Rebuild Flat Catalog Product"
"Recommended","Recomendado"
"Rebuild","Reconstruir"
"Retrieve Password","Recuperar contraseña"
"Resources","Recursos"
"Roles Resources","Recursos de los roles"
"Role Resources","Recursos del Rol"
"Resize","Redimensionar"
"Redirect","Redirigir"
"Changelog","Registro de cambios"
"Processed <strong>%s%% %s/%d</strong> records","Registros <strong>%s%% %s/%d</strong> procesados"
"Imported <strong>%s</strong> records","Registros <strong>%s</strong>  importados"
"Back","Regresar"
"Return Html Version","Regresar a la versión en HTML"
"Back to local packages","Regresar a los paquetes locales"
"Grid (default) / List","Rejilla (predeterminado) / Lista"
"Grid only","Rejilla solamente"
"Sender","Remitente"
"Remove","Remover"
"Queue Refresh","Renovación de cola"
"Refresh Now*","Renovar ahora*"
"Wishlist Report","Reporte de la Lista de Deseos"
"Sales Report","Reporte de ventas"
"Reports","Reportes"
"Required","Requerido"
"Backup","Respaldo"
"Backup successfully created","Respaldo creado exitosamente"
"Backups","Respaldos"
"Reset","Restablecer"
"Reset Filter","Restablecer filtro"
"Results","Resultados"
"Summary","Resumen"
"Summary:","Resumen:"
"Role","Rol"
"Role Users","Rol de los usuarios"
"Role ID","Rol del ID"
"User Role","Rol del usuario"
"Role successfully deleted.","Rol eliminada exitosamente."
"Role successfully saved.","Rol guardada exitosamente."
"Roles","Roles"
"User Roles","Roles del usuario"
"Rotate CCW","Rotar CCW"
"Rotate CW","Rotar CW"
"Path","Ruta"
"Target Path","Ruta del Objetivo"
"Request Path","Ruta Requerida"
"Path:","Ruta:"
"You successfully logged out.","Salió del sistema satisfactoriamente."
"Skip category selection","Saltar selección de categoría"
"Yes","Sí"
"Yes (only price with tax)","Sí (sólo precio con impuesto)"
"Only attributes with scope ""Global"", input type ""Dropdown"" and Use To Create Configurable Product ""Yes"" are available.","sólo atributos con el ámbito ""Global"",tipo de entrada en menú desplegable"" y usar para crear un producto configurable ""Si"" están disponibles."
"Only mapped fields","sólo campos asignados"
"Schedule Merge","Schedule Merge"
"Search Index rebuild error. Please try again later","Search Index rebuild error. Please try again later"
"Search Index was rebuilt successfully","Search Index was rebuilt successfully"
"Advanced Section","Sección Avanzada"
"Advanced Admin Section","Sección de Administrador Avanzada"
"Developer Section","Sección de Desarrollo"
"Store Email Addresses Section","Sección de direcciones de Email de tienda"
"Design Section","Sección de Diseño"
"System Section","Sección del Sistema"
"General Section","Sección General"
"Currency Setup Section","Sección para Establecer Divisa"
"Web Section","Sección Web"
"Date selection:","Selección de Fecha:"
"Time selection:","Selección de hora:"
"Invalid section value","Selección de valor inválido"
"Multiple Select","Selección Múltiple"
"Select","Seleccionar"
"Browse Files...","Seleccionar archivos..."
"Select Category","Seleccionar Categoría"
"Select date","Seleccionar fecha"
"Select Date","Seleccionar fecha"
"Select Range","Seleccionar Rango"
"Select All","Seleccionar Todo"
"Select Visible","Seleccionar Visibilidad"
"Choose Store View","Seleccione la vista de la tienda"
"Choose an attribute","Seleccione un atributo"
"Select website from map","Select website from map"
"Select website to map","Select website to map"
"Date selector","Selector de Fecha"
"Decimal separator:","Separador Decimal:"
"Web Services","Servicios Web"
"Web services","Servicios web"
"Local Server","Servidor local"
"Local/Remote Server","Servidor Local/Remoto"
"Next page","Siguiente página"
"No change","Sin cambio"
"No profile","Sin perfil"
"System","Sistema"
"Website","Sitio Web"
"New Website","Sitio Web Nuevo"
"Staging Store: ","Staging Store: "
"Staging Website: ","Staging Website: "
"Store: ","Store: "
"Upload File","Subir Archivo"
"Upload Files","Subir Archivo"
"Upload local file:","Subir archivo local:"
"Upload and Install","Subir e Instalar"
"Subpackage","Subpaquete"
"Subpackages","Subpaquetes"
"Subtotal","Subtotal"
"Your answers contain duplicates.","Sus respuestas contienen duplicados."
"Dashboard","Tablero"
"Size for %s","Tamaño por %s"
"Rates","Tarifas"
"Switch/Solo card issue number: %s","Tarjeta de debito Switch/Solo código de seguridad: %s"
"Switch/Solo card start Date: %s/%s","Tarjeta de debito Switch/Solo con fecha de inicio: %s/%s"
"Tb","Tb"
"Phone:","Teléfono:"
"Temporary (302)","Temporal (302)"
"Log Out","Terminar sesión"
"Text","Texto"
"This account is inactive.","This account is inactive."
"Store","Tienda"
"Store:","Tienda:"
"Time","Time"
"Type","Tipo"
"New Item Type","Tipo de Artículo Nuevo"
"Address Type:","Tipo de Dirección:"
"Entity Type","Tipo de Entidad"
"Entity type:","tipo de entidad:"
"Template Type","Tipo de Plantilla"
"Credit Card Type","Tipo de Tarjeta de Crédito"
"Credit Card Type: %s","Tipo de Tarjeta de Crédito: %s"
"Type:","Tipo:"
"All Store Views","Toda las Vistas de la Tienda"
"All Tags","Todas las etiquetas"
"All rates were fetched, click on ""Save"" to apply","Todas las tarifas posibles fueron traídas, clic en ""Guardar"" para aplicar"
"All possible rates were fetched, click on ""Save"" to apply","Todas las tarifas posibles fueron traídas, clic en ""Guardar"" para aplicar"
"All valid rates successfully saved","Todas las tarifas validas fueron guardadas exitosamente"
"All","Todos"
"All Files","Todos los archivos"
"All fields","Todos los campos"
"All countries","Todos los países"
"All Allowed Countries","Todos los países permitidos"
"All Websites","Todos los sitios web"
"Total","Total"
"Total of %d record(s) were successfully deleted","Total de %d registros fueron eliminados satisfactoriamente"
"Total Refunded","Total de reembolsos"
"Total Invoiced","Total facturado"
"Invoice Totals","Totales de facturas"
"Credit Memo Totals","Totales de Memos de créditos"
"Order Totals","Totales del pedido"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Trajeta de debito Switch/Solo/Maestro(UK Hogar) código de seguridad: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Trajeta de debito Switch/Solo/Maestro(UK Hogar) fecha de Inicio: %s/%s"
"Payment Data Transfer (PDT)","Transferencia de datos de pago(PDT)"
"Data transfer:","Transferencia de datos:"
"A new password was sent to your email address. Please check your email and click Back to Login.","Una contraseña nueva fue enviada a su email. Revise su email y regrese para acceder"
"One of options row has error","Una de las opciones del renglón tiene error"
"Invalid URL","URL inválido"
"Remote URL:","URL remoto:"
"Urlrewrite Information","Urlrewrite Información"
"Use default","Usar predeterminado"
"Use website","Usar sitio web"
"Use Default Value","Usar valores predeterminados"
"Use Config Settings","Use Config Settings"
"You can not delete self assigned roles.","Usted no puede eliminar roles autoasignados."
"You cannot delete account of yourself","Usted no puede eliminar su propia cuenta"
"You have not enought permissions to login.","Usted no tiene los suficientes permisos para iniciar sesión."
"You have not enought permissions to use this functionality.","Usted no tiene los suficientes permisos para usar esta funcionalidad."
"You have","Usted tiene"
"User","Usuario"
"New User","Usuario Nuevo"
"Users","Usuarios"
"Value","Valor"
"Invalid store value","Valor de tienda inválido"
"Value Delimiter:","Valor delimitador:"
"Invalid website value","Valor inválido en sito web"
"Default (Admin) Values","Valores (Admin) predeterminados"
"Default Values","Valores predeterminados"
"Lifetime Sales","Ventas por siempre"
"View","Ver"
"View Actions XML","Ver Acciones XML"
"View Statistics for","Ver estadísticas para"
"Version","Versión"
"PHP Version","Versión  de PHP"
"API Version","Versión de la API"
"Available Version","Versión Disponible"
"Installed Version","Versión instalada"
"Release Version","Versión Liberada"
"Version:","Versión:"
"Old rate:","vieja tarifa:"
"Visibility:","Visibilidad:"
"Store View","Vista de tienda"
"New Store View","Vista Nueva de la tienda"
"Back to Login","Volver al inicio de sesión"
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Warning!rnThis action will remove this user from already assigned rolernAre you sure?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?"
"Website: ","Website: "
"Websites","Websites"
"Websites / Stores","Websites / Stores"
"XML","XML"
"Customer with the same email already exists.","Ya existe un cliente con la misma Dirección Email."
"[ deleted ]","[ eliminado ]"
"[deleted]","[eliminado]"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure Url / Base Secure Url. It is highly recommended to change this value in your Magento <a href=""%s"">configuration</a>.","{{base_url}} no esta recomendada para usarse en producción por declarar la Base Insegura Url / Base Secure Url. Es muy recomendable que cambie este valor en su Megento <a href=""%s"">configuración</a>."
